===== wnba_2017_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Ameryst Alston,NYL,G,2,3,2,0,"1,5","0,5","1,0",",500","0,0","0,0",0,"0,5","1,0",",500","0,0","0,0",0,"0,5","1,0","0,5","0,0","0,0","0,5","0,0","1,0"


===== wnba_2017_advanced.txt =====
Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg, ,OWS,DWS,WS,WS/40
Skylar Diggins,DAL,G,34,1162,34,1162,"21,3",",570",",476",",308",",479","2,2","6,0","31,3","1,9","1,9","14,6","23,4",116,110,0,"4,4","0,2","4,6",",158"
Chelsea Gray,LAS,G,34,1125,34,1125,"19,0",",618",",580",",303",",270","2,5","6,4","21,6","1,7","0,6","13,8","19,3",118,101,0,"3,9","1,8","5,7",",202"
Tina Charles,NYL,C,34,1095,34,1095,"21,9",",508",",462",",116",",258","7,2","16,5","16,2","1,3","1,8","10,8","29,9",105,97,0,"2,3","2,4","4,7",",172"
Breanna Stewart,SEA,F,33,1086,33,1086,"24,3",",588",",528",",283",",443","6,0","16,4","15,3","1,8","3,9","12,5","27,6",111,100,0,"3,5","1,8","5,3",",196"
Elizabeth Williams,ATL,C-F,34,1069,34,1069,"16,3",",513",",485",",003",",267","10,8","13,1","7,5","1,7","5,1","11,8","15,8",106,100,0,"1,4","1,7","3,2",",119"
Maya Moore*,MIN,F,34,1063,34,1063,"22,5",",561",",512",",338",",271","6,1","9,8","18,2","3,1","1,1","10,4","24,5",116,94,0,"4,1","2,8","6,9",",258"
Jewell Loyd,SEA,G,34,1059,34,1059,"19,1",",547",",487",",290",",317","4,0","6,3","20,1","2,1","0,9","13,4","28,1",105,107,0,"2,1","0,6","2,8",",104"
Nneka Ogwumike,LAS,F,34,1050,34,1050,"28,1",",636",",582",",122",",354","7,8","16,0","12,4","3,1","1,5","9,4","24,4",124,93,0,"5,5","2,9","8,4",",321"
Candice Dupree,IND,F,33,1049,33,1049,"18,0",",531",",494",",005",",176","4,0","11,6","10,4","1,5","1,2","8,8","22,7",104,109,0,"1,7","0,4","2,0",",077"
Alana Beard,LAS,G-F,34,1048,34,1048,"11,6",",551",",513",",098",",238","2,7","6,9","10,4","3,5","1,4","17,4","11,4",104,96,0,"0,9","2,4","3,3",",127"
Sylvia Fowles*,MIN,C,34,1048,34,1048,"30,8",",691",",655",",000",",456","14,8","20,6","8,7","2,2","5,2","15,1","23,3",127,90,0,"5,7","3,4","9,2",",350"
Glory Johnson,DAL,F,33,1022,33,1022,"18,2",",537",",490",",166",",318","8,5","17,2","9,9","2,0","1,0","13,7","21,9",106,106,0,"1,9","0,8","2,7",",104"
Layshia Clarendon,ATL,G,34,1014,34,1014,"13,0",",454",",394",",169",",251","3,2","7,2","38,4","1,6","0,2","18,3","21,1",96,105,0,"0,2","1,0","1,1",",044"
Karima Christmas-Kelly,DAL,F-G,34,1011,34,1011,"13,2",",536",",430",",338",",563","6,3","8,3","12,2","2,1","0,5","14,6","16,0",111,110,0,"2,0","0,1","2,1",",084"
Candace Parker,LAS,F-C,33,1007,33,1007,"25,2",",567",",530",",292",",292","5,4","17,5","24,2","2,5","4,7","15,3","26,6",108,91,0,"2,6","3,1","5,8",",229"
Allie Quigley,CHI,G,31,1000,31,1000,"18,1",",632",",607",",474",",148","1,1","5,9","18,8","1,2","1,2","15,3","21,0",112,109,0,"2,6","0,3","2,9",",116"
Kayla McBride,SAS,G,30,995,30,995,"15,5",",528",",446",",418",",354","1,7","7,6","14,0","1,8","0,4","11,7","22,4",105,107,0,"1,7","0,7","2,4",",096"
Shavonte Zellous,NYL,G,34,991,34,991,"14,1",",547",",450",",165",",564","3,8","7,8","15,8","1,5","0,7","15,2","19,1",109,101,0,"2,1","1,5","3,6",",145"
Tiffany Hayes,ATL,G,33,989,33,989,"18,8",",582",",499",",339",",486","3,4","7,3","14,8","2,1","0,7","11,8","23,0",113,104,0,"3,1","1,1","4,2",",171"
Kristi Toliver,WAS,G,34,989,34,989,"13,8",",553",",519",",664",",177","1,3","3,9","20,5","1,2","0,6","14,5","19,4",108,109,0,"1,9","0,3","2,2",",088"
Alyssa Thomas,CON,F,33,982,33,982,"19,4",",536",",509",",008",",545","5,3","13,0","24,3","2,6","1,0","17,6","24,2",103,98,0,"1,5","2,0","3,5",",142"
Jonquel Jones,CON,C,34,970,34,970,"26,8",",634",",571",",165",",487","14,2","23,6","8,3","1,5","4,0","12,2","20,7",126,95,0,"4,8","2,4","7,2",",297"
Stefanie Dolson,CHI,C,33,968,33,968,"18,5",",636",",605",",205",",199","5,3","11,6","14,8","0,9","3,2","17,7","20,9",110,106,0,"2,3","0,8","3,1",",127"
Crystal Langhorne,SEA,F-C,34,967,34,967,"18,5",",671",",649",",007",",299","5,9","13,2","9,4","1,0","1,0","15,3","18,0",117,106,0,"2,8","0,8","3,6",",149"
Alysha Clark,SEA,F,33,934,33,934,"12,2",",606",",579",",332",",252","4,7","9,2","9,1","1,3","0,3","12,8","12,9",115,108,0,"1,8","0,5","2,3",",099"
Shekinna Stricklen,CON,F,34,926,34,926,"12,3",",592",",565",",749",",160","2,1","6,6","5,7","2,2","0,3","10,5","12,8",115,102,0,"1,7","1,3","3,0",",131"
Allisha Gray,DAL,G,34,924,34,924,"16,4",",488",",425",",297",",335","6,5","8,5","8,9","2,8","1,7","8,5","22,5",105,108,0,"1,5","0,5","2,0",",086"
Isabelle Harrison,SAS,F,34,906,34,906,"15,7",",527",",502",",006",",294","9,6","14,5","10,2","1,6","2,3","15,6","21,6",99,104,0,"0,7","1,0","1,7",",074"
Jasmine Thomas,CON,G,32,902,32,902,"17,2",",517",",488",",330",",180","1,6","4,7","24,9","2,8","0,3","14,8","24,4",102,102,0,"1,2","1,3","2,5",",113"
Sue Bird*,SEA,G,30,901,30,901,"16,5",",551",",535",",547",",113","1,0","4,1","35,9","2,1","0,3","17,7","18,2",110,108,0,"2,0","0,4","2,4",",105"
Erica Wheeler,IND,G,34,898,34,898,"14,5",",486",",464",",387",",123","1,5","5,3","29,2","2,7","0,1","15,9","25,3",93,110,0,"-0,2","0,2","0,0","-0,002"
Krystal Thomas,WAS,C,34,888,34,888,"15,9",",565",",544",",000",",378","14,2","21,0","6,2","1,0","3,3","18,6","13,0",112,101,0,"1,6","1,4","3,0",",133"
Seimone Augustus*,MIN,G-F,32,886,32,886,"16,1",",558",",534",",149",",129","1,9","6,5","22,3","1,0","0,3","12,6","17,9",114,100,0,"2,3","1,5","3,9",",174"
Courtney Williams,CON,G,34,884,34,884,"16,0",",511",",488",",095",",105","5,8","9,2","13,4","1,0","0,7","10,1","22,0",105,104,0,"1,5","1,0","2,4",",110"
Diana Taurasi,PHO,G,31,883,31,883,"19,0",",579",",514",",595",",324","1,4","6,3","18,2","0,9","0,9","11,4","27,8",110,106,0,"2,7","0,7","3,3",",151"
Tamera Young,TOT,F,35,867,35,867,"8,5",",432",",398",",237",",231","3,2","7,8","11,8","2,1","1,3","15,2","20,3",84,106,0,"-1,4","0,7","-0,6","-0,030"
Brittney Sykes,ATL,G,34,863,34,863,"15,2",",497",",452",",264",",309","3,5","9,3","14,5","1,1","1,7","10,9","26,7",98,104,0,"0,6","1,0","1,6",",072"
Camille Smith,PHO,F,34,862,34,862,"8,5",",470",",447",",248",",239","6,3","9,1","9,6","1,8","1,4","17,5","16,5",90,104,0,"-0,5","1,0","0,5",",022"
Sugar Rodgers,NYL,G,33,844,33,844,"12,1",",459",",428",",520",",153","3,1","8,5","15,5","1,8","1,6","12,3","22,6",96,99,0,"0,2","1,5","1,7",",081"
Jessica Breland,CHI,F,34,834,34,834,"15,4",",517",",490",",072",",161","7,9","15,0","10,1","1,1","5,2","16,5","19,9",96,103,0,"0,2","1,1","1,2",",059"
Tierra Ruffin-Pratt,WAS,G,34,827,34,827,"11,0",",417",",337",",016",",430","7,2","12,4","15,8","2,1","1,6","14,4","18,8",93,103,0,"-0,2","1,0","0,8",",040"
Brittney Griner,PHO,C,26,820,26,820,"28,7",",642",",577",",000",",532","6,7","14,6","13,1","1,1","6,3","12,6","28,0",118,99,0,"3,9","1,5","5,4",",262"
Sancho Lyttle,ATL,F,29,820,29,820,"11,4",",468",",441",",043",",156","6,5","14,4","9,1","2,8","1,8","16,1","12,5",95,98,0,"0,0","1,6","1,6",",078"
Courtney Vandersloot,CHI,G,27,817,27,817,"18,6",",594",",569",",276",",146","2,4","7,2","41,9","2,0","0,5","23,4","18,5",111,107,0,"2,1","0,5","2,5",",124"
Rebekkah Brunson,MIN,F,30,807,30,807,"15,4",",540",",496",",272",",370","8,0","15,2","8,1","2,1","1,3","14,5","18,2",107,94,0,"1,3","2,2","3,5",",171"
Alex Montgomery,SAS,G-F,34,800,34,800,"9,6",",445",",422",",342",",105","5,9","14,8","14,9","1,4","1,0","17,0","15,5",91,104,0,"-0,3","0,9","0,5",",027"
Cappie Pondexter,CHI,G,29,789,29,789,"9,1",",434",",382",",121",",253","1,9","6,2","23,9","1,2","0,5","17,0","21,7",89,110,0,"-0,8","0,2","-0,6","-0,031"
Monique Currie,TOT,F,36,784,36,784,"17,2",",552",",492",",320",",353","3,1","10,3","18,3","1,6","1,2","13,3","23,5",106,104,0,"1,5","0,9","2,4",",124"
Elena Delle Donne,WAS,F-G,25,758,25,758,"28,5",",636",",545",",264",",463","5,9","12,7","10,9","1,4","3,7","8,9","25,2",128,103,0,"4,4","1,0","5,4",",287"
Danielle Robinson,PHO,G,32,752,32,752,"11,7",",501",",432",",036",",339","2,3","7,5","24,5","2,4","0,5","21,7","17,0",96,103,0,"0,1","0,9","1,1",",056"
Odyssey Sims,LAS,G,31,752,31,752,"16,7",",527",",468",",229",",277","2,5","5,0","22,6","3,1","0,6","13,4","20,1",107,98,0,"1,4","1,5","2,9",",153"
Epiphanny Prince,NYL,G,28,751,28,751,"18,1",",518",",458",",332",",284","4,9","7,7","18,7","2,4","0,8","9,7","21,2",112,100,0,"2,0","1,3","3,3",",178"
Renee Montgomery,MIN,G,34,743,34,743,"13,8",",560",",514",",502",",263","2,5","4,4","23,0","1,7","0,2","19,3","18,0",109,100,0,"1,4","1,3","2,7",",146"
Alex Bentley,CON,G,31,735,31,735,"10,9",",458",",422",",300",",179","0,6","3,5","18,0","1,7","0,4","8,7","18,1",101,104,0,"0,6","0,8","1,4",",077"
Bria Hartley,NYL,G,34,727,34,727,"11,3",",519",",496",",462",",164","1,6","5,6","16,2","1,4","0,6","16,1","18,5",100,102,0,"0,5","1,0","1,5",",083"
Leilani Mitchell,PHO,G,34,726,34,726,"16,2",",550",",476",",481",",438","2,2","6,7","28,0","2,2","1,1","17,6","18,8",108,104,0,"1,4","0,9","2,3",",124"
Bria Holmes,ATL,G,32,711,32,711,"10,8",",444",",398",",220",",369","4,9","7,4","13,4","1,6","0,8","11,1","19,2",94,105,0,"-0,1","0,7","0,6",",031"
Kelsey Plum,SAS,G,31,711,31,711,"9,2",",479",",417",",390",",280","2,0","5,1","25,8","1,2","0,5","22,2","22,5",90,109,0,"-0,6","0,2","-0,4","-0,024"
Theresa Plaisance,DAL,F,34,690,34,690,"13,0",",487",",463",",478",",114","6,8","12,5","7,9","1,8","2,7","9,8","18,1",103,107,0,"0,8","0,4","1,2",",069"
Dearica Hamby,SAS,F,34,686,34,686,"13,7",",502",",463",",037",",466","8,8","12,8","9,0","2,2","1,1","14,8","20,3",98,104,0,"0,3","0,7","1,0",",059"
Tiffany Mitchell,IND,G,27,671,27,671,"13,0",",490",",384",",290",",429","2,9","8,1","10,1","2,4","0,6","12,4","22,4",96,109,0,"0,2","0,2","0,4",",025"
Kiah Stokes,NYL,C,34,666,34,666,"14,6",",596",",531",",009",",478","13,3","18,3","7,0","0,9","4,8","22,6","11,7",113,96,0,"1,2","1,5","2,7",",162"
Briann January,IND,G,25,657,25,657,"12,0",",504",",439",",278",",346","2,2","3,6","25,8","1,8","0,5","18,3","20,5",97,113,0,"0,2","-0,1","0,1",",006"
Emma Meesseman,WAS,F,23,653,23,653,"20,9",",540",",507",",157",",164","7,0","11,5","19,6","1,8","4,1","11,8","23,4",109,103,0,"1,6","0,9","2,5",",154"
Erlana Larkins,IND,F,34,640,34,640,"13,8",",633",",581",",000",",291","12,0","14,1","10,0","1,5","1,3","24,1","12,6",112,110,0,"1,2","0,1","1,3",",083"
Marissa Coleman,IND,G-F,34,636,34,636,"5,9",",457",",411",",518",",214","1,5","6,9","8,7","0,8","0,7","17,5","16,3",84,113,0,"-0,8","-0,1","-1,0","-0,060"
Natalie Achonwa,IND,F,34,623,34,623,"16,2",",597",",557",",000",",335","7,1","13,0","7,4","1,2","2,3","13,3","17,4",112,109,0,"1,4","0,2","1,6",",102"
Damiris Dantas,ATL,C-F,34,614,34,614,"12,3",",471",",442",",377",",165","5,8","11,3","6,8","1,4","2,5","9,1","21,7",96,102,0,"0,1","0,8","0,9",",061"
Stephanie Talbot,PHO,F,34,609,34,609,"10,6",",517",",480",",341",",374","5,8","9,1","14,5","2,0","1,2","17,3","12,9",104,104,0,"0,6","0,7","1,3",",084"
Kayla Thornton,DAL,F,34,586,34,586,"14,8",",539",",460",",345",",480","7,5","11,2","8,5","1,9","1,1","10,1","17,1",114,109,0,"1,5","0,2","1,6",",113"
Ivory Latta,WAS,G,34,579,34,579,"13,1",",492",",438",",538",",249","1,4","2,8","18,0","1,4","0,1","9,8","23,7",104,110,0,"0,9","0,1","1,0",",067"
Jia Perkins,MIN,G,34,554,34,554,"9,7",",445",",409",",255",",161","2,5","7,5","11,9","3,4","0,1","14,9","15,1",94,94,0,"-0,1","1,4","1,3",",097"
Jantel Lavender,LAS,F,32,553,32,553,"13,5",",524",",500",",075",",122","8,1","11,2","8,8","0,8","0,8","15,1","22,1",98,101,0,"0,3","0,9","1,1",",080"
Kia Vaughn,NYL,C,28,549,28,549,"13,9",",545",",536",",000",",174","11,3","14,2","6,1","1,1","1,6","13,4","13,8",111,100,0,"0,9","1,0","1,9",",137"
Tianna Hawkins,WAS,F,33,547,33,547,"16,0",",556",",503",",246",",230","9,0","14,4","3,7","1,7","1,1","10,8","18,9",112,104,0,"1,3","0,6","1,9",",139"
Kayla Alexander,SAS,C,34,522,34,522,"16,6",",607",",582",",000",",133","10,4","12,5","6,3","1,5","2,7","15,5","17,8",110,105,0,"1,0","0,5","1,5",",115"
Lindsay Whalen*,MIN,G,22,520,22,520,"12,4",",524",",490",",222",",235","1,9","6,3","25,6","1,1","0,3","20,7","18,2",102,100,0,"0,6","0,9","1,5",",113"
Moriah Jefferson,SAS,G,21,514,21,514,"16,9",",572",",552",",129",",174","1,4","4,4","33,1","3,3","0,3","20,5","18,4",105,105,0,"0,8","0,5","1,3",",100"
Kaela Davis,DAL,F,33,511,33,511,"7,9",",491",",431",",200",",371","2,1","5,3","11,2","1,6","0,5","19,7","20,9",90,112,0,"-0,4","-0,1","-0,5","-0,037"
Noelle Quinn,SEA,G,32,504,32,504,"10,3",",597",",524",",629",",339","0,3","6,4","25,1","1,3","0,8","29,6","9,4",111,108,0,"0,7","0,2","0,9",",075"
Kahleah Copper,CHI,G-F,34,485,34,485,"11,9",",542",",492",",182",",283","2,8","7,9","4,4","1,1","0,3","11,7","21,7",100,109,0,"0,3","0,2","0,5",",042"
Jazmon Gwathmey,IND,G,28,478,28,478,"7,8",",448",",398",",320",",279","4,0","7,3","7,7","1,5","3,8","15,7","22,3",84,110,0,"-0,9","0,1","-0,7","-0,061"
Plenette Pierson,MIN,F,34,465,34,465,"12,3",",510",",485",",341",",146","4,1","10,0","16,0","1,5","0,9","16,7","20,0",100,97,0,"0,3","1,0","1,3",",115"
Essence Carson,LAS,G,24,464,24,464,"9,4",",498",",447",",346",",231","3,2","5,5","9,0","1,7","1,5","13,6","13,2",100,101,0,"0,2","0,7","1,0",",084"
Tayler Hill,WAS,G,18,462,18,462,"17,0",",531",",432",",466",",419","1,2","4,2","18,3","1,8","0,2","10,3","24,5",111,108,0,"1,3","0,2","1,5",",130"
Natasha Cloud,WAS,G,24,448,24,448,"9,5",",408",",364",",432",",229","1,8","7,5","24,7","2,0","0,5","15,0","15,3",94,106,0,"0,0","0,4","0,4",",031"
Emma Cannon,PHO,F,34,440,34,440,"10,3",",526",",491",",018",",553","11,9","16,8","3,9","0,6","0,9","17,9","17,8",99,104,0,"0,2","0,5","0,7",",065"
Yvonne Turner,PHO,G,34,434,34,434,"10,3",",490",",450",",335",",236","3,4","4,6","15,3","2,2","0,2","17,2","22,4",91,106,0,"-0,3","0,4","0,1",",007"
Imani McGee-Stafford,TOT,C,32,430,32,430,"12,2",",488",",467",",024",",187","12,4","16,8","5,0","1,0","4,2","15,3","16,1",97,103,0,"0,1","0,5","0,6",",060"
Ramu Tokashiki,SEA,F,33,411,33,411,"6,2",",496",",442",",032",",284","6,1","8,1","7,9","1,1","1,8","19,6","15,2",93,108,0,"-0,1","0,2","0,1",",008"
Riquna Williams,LAS,G,23,408,23,408,"7,9",",464",",393",",529",",314","2,0","5,0","5,8","2,4","0,6","14,0","21,0",88,99,0,"-0,4","0,7","0,3",",031"
Sami Whitcomb,SEA,G,33,404,33,404,"11,5",",517",",489",",767",",158","4,6","8,6","13,4","3,1","0,0","16,9","19,9",96,105,0,"0,1","0,4","0,5",",047"
Natasha Howard,MIN,F,34,397,34,397,"15,4",",528",",496",",111",",238","9,9","12,5","9,6","2,3","4,3","15,7","18,5",104,93,0,"0,5","1,1","1,6",",164"
Cayla George,PHO,C-F,32,381,32,381,"7,7",",452",",436",",422",",128","3,5","13,5","6,6","1,2","2,5","11,5","15,5",89,101,0,"-0,2","0,6","0,4",",038"
Lindsay Allen,NYL,G,28,376,28,376,"9,0",",399",",371",",210",",161","3,1","6,4","24,6","2,2","0,2","22,2","10,0",95,101,0,"0,0","0,6","0,6",",067"
Jeanette Pohlen-Mavunga,IND,G,29,374,29,374,"8,3",",550",",500",",494",",291","1,3","4,8","8,7","1,0","0,0","16,0","13,2",101,114,0,"0,2","-0,2","0,1",",006"
Morgan Tuck,CON,F,22,366,22,366,"6,5",",433",",398",",299",",165","3,4","7,6","8,0","1,1","0,0","13,9","18,5",87,104,0,"-0,4","0,4","0,0",",001"
Saniya Chong,DAL,G,33,364,33,364,"9,9",",496",",417",",487",",372","2,7","4,8","14,8","3,0","0,6","21,6","13,4",96,109,0,"0,0","0,1","0,2",",017"
Shenise Johnson,IND,G,14,348,14,348,"19,8",",546",",472",",236",",315","4,5","8,8","18,5","3,2","1,0","11,1","21,7",110,107,0,"0,8","0,2","1,1",",122"
Erika de Souza,SAS,F-C,27,338,27,338,"11,1",",497",",479",",000",",064","10,0","12,6","10,0","1,2","2,4","19,2","15,9",94,106,0,"0,0","0,3","0,3",",030"
Shatori Walker-Kimbrough,WAS,G,27,336,27,336,"11,0",",513",",428",",340",",423","2,4","5,1","6,0","2,3","0,9","12,9","17,6",101,106,0,"0,3","0,3","0,5",",062"
Sydney Colson,SAS,G,28,326,28,326,"6,7",",402",",341",",114",",364","1,1","2,8","27,7","2,2","0,5","20,9","17,8",84,108,0,"-0,5","0,2","-0,3","-0,039"
Erica McCall,IND,F,30,322,30,322,"7,9",",443",",411",",030",",218","7,5","13,6","2,7","0,7","2,3","15,3","18,9",84,110,0,"-0,5","0,1","-0,4","-0,051"
Sequoia Holmes,SAS,G,27,306,27,306,"9,5",",433",",417",",500",",135","5,1","5,0","13,3","2,2","1,6","10,6","16,7",94,107,0,"0,0","0,2","0,2",",020"
Rebecca Allen,NYL,F-G,33,304,33,304,"10,6",",449",",450",",436",",059","4,9","12,6","9,2","2,0","3,5","14,8","17,7",90,95,0,"-0,2","0,7","0,5",",070"
Jordan Hooper,TOT,F,28,299,28,299,"10,5",",526",",520",",758",",061","1,1","6,9","4,7","1,5","0,2","8,1","16,2",100,107,0,"0,2","0,2","0,4",",049"
Nayo Raincock-Ekunwe,NYL,F,32,295,32,295,"13,2",",563",",526",",051",",782","11,3","11,0","4,6","0,9","0,3","14,0","18,3",110,103,0,"0,6","0,4","1,0",",135"
Cheyenne Parker-Tyus,CHI,F,23,286,23,286,"12,7",",513",",464",",043",",522","13,3","15,8","6,7","1,4","3,8","19,8","16,4",99,104,0,"0,1","0,3","0,4",",062"
Rachel Banham,CON,G,30,283,30,283,"7,6",",446",",406",",564",",198","0,8","6,8","11,3","0,7","0,0","9,9","18,4",95,105,0,"0,0","0,3","0,3",",036"
Courtney Paris,DAL,C,20,273,20,273,"13,0",",560",",559",",000",",235","13,3","15,9","9,0","1,3","3,1","20,2","14,5",106,108,0,"0,4","0,1","0,5",",072"
Kayla Pedersen,CON,F,26,266,26,266,"7,0",",447",",371",",029",",486","9,7","12,6","7,4","1,3","0,6","19,1","8,4",104,103,0,"0,2","0,4","0,5",",079"
Carolyn Swords,SEA,C,30,261,30,261,"6,5",",595",",545",",000",",400","5,6","10,9","5,5","1,0","1,8","27,9","16,1",91,107,0,"-0,1","0,2","0,1",",012"
Shay Murphy,TOT,G,26,253,26,253,"9,2",",483",",460",",571",",190","5,7","9,1","11,0","2,0","0,3","14,9","14,3",97,105,0,"0,1","0,2","0,3",",049"
Matee Ajavon,ATL,G,31,250,31,250,"5,8",",403",",289",",053",",513","3,9","8,7","19,1","2,2","0,0","23,1","21,0",78,103,0,"-0,7","0,3","-0,4","-0,058"
Aerial Powers,DAL,G,12,244,12,244,"15,3",",470",",394",",356",",373","7,6","12,0","13,5","1,0","1,9","11,6","26,8",100,110,0,"0,2","0,0","0,3",",044"
Lynetta Kizer,CON,F,20,238,20,238,"18,4",",526",",480",",010",",300","10,3","13,6","4,2","2,3","2,3","8,1","22,2",109,99,0,"0,6","0,4","1,0",",169"
Angel Robinson,PHO,F-C,15,237,15,237,"9,8",",616",",580",",023",",159","8,2","14,8","5,6","0,2","3,7","25,4","12,1",102,103,0,"0,2","0,3","0,5",",078"
Sydney Wiese,LAS,G,28,222,28,222,"9,5",",504",",500",",583",",133","1,8","6,3","5,3","1,2","1,2","3,1","13,6",106,101,0,"0,2","0,3","0,6",",104"
Alexis Jones,MIN,G,29,211,29,211,"7,3",",456",",414",",382",",184","2,4","6,4","15,9","1,9","0,0","20,4","21,7",88,98,0,"-0,2","0,4","0,2",",034"
Nia Coffey,SAS,F,27,210,27,210,"3,1",",349",",271",",068",",373","9,8","14,5","4,6","1,2","2,4","18,9","18,1",73,105,0,"-0,6","0,2","-0,4","-0,078"
Kaleena Mosqueda-Lewis,SEA,F,18,199,18,199,"10,4",",570",",529",",500",",162","2,7","6,5","7,7","1,0","0,4","17,1","20,7",97,109,0,"0,1","0,1","0,1",",023"
Asia Taylor,WAS,F,24,160,24,160,"11,4",",437",",325",",050",",650","12,8","15,6","9,0","2,3","1,0","17,6","17,5",95,103,0,"0,0","0,2","0,2",",054"
Amber Harris,CHI,F,27,159,27,159,"10,2",",417",",396",",229",",167","9,2","15,3","4,7","0,9","4,1","12,0","16,3",88,104,0,"-0,1","0,2","0,0",",008"
Amanda Zahui B.,NYL,C,29,155,29,155,"8,7",",448",",415",",123",",185","6,7","11,4","11,5","1,7","3,2","17,6","24,3",87,97,0,"-0,2","0,3","0,1",",025"
Tiffany Jackson-Jones,LAS,F,26,149,26,149,"4,1",",491",",462",",038",",308","7,3","13,3","2,9","0,7","1,7","28,9","12,9",81,99,0,"-0,2","0,3","0,1",",016"
Keisha Hampton,CHI,F,19,148,19,148,"13,8",",569",",543",",621",",103","5,0","4,7","6,4","1,7","1,5","7,6","19,6",110,110,0,"0,3","0,0","0,3",",094"
Brionna Jones,CON,F,23,147,23,147,"19,4",",653",",575",",000",",600","12,2","14,7","3,1","3,0","1,1","15,1","17,3",123,98,0,"0,6","0,3","0,8",",231"
Allison Hightower,WAS,G,11,145,11,145,"12,1",",423",",388",",259",",138","3,1","5,5","14,8","2,9","0,0","6,1","20,3",97,106,0,"0,0","0,1","0,2",",044"
Alexis Prince,PHO,F,18,130,18,130,"8,7",",418",",402",",390",",049","0,9","8,4","9,0","1,6","2,4","6,7","15,7",88,103,0,"-0,1","0,2","0,1",",023"
Alexis Peterson,SEA,G,17,121,17,121,"3,7",",375",",330",",273",",136","3,3","10,8","18,1","2,1","0,0","21,8","23,1",73,105,0,"-0,5","0,1","-0,3","-0,112"
Jennie Simms,TOT,G,14,104,14,104,"8,0",",380",",280",",360",",480","6,6","9,1","11,7","2,0","1,5","16,5","15,9",85,108,0,"-0,1","0,1","-0,1","-0,029"
Bashaara Graves,CHI,F,10,92,10,92,"10,5",",518",",500",",000",",318","8,0","14,5","8,1","1,1","0,8","19,3","14,9",96,106,0,"0,0","0,1","0,1",",035"
Temi Fagbenle,MIN,C,21,89,21,89,"9,5",",569",",500",",000",",500","7,1","14,4","1,6","1,7","3,7","26,7","15,0",92,93,0,"0,0","0,2","0,2",",099"
Jennifer Hamson,IND,C,12,86,12,86,"17,2",",617",",556",",000",",389","8,4","18,5","4,0","0,6","10,6","19,2","14,1",109,102,0,"0,1","0,1","0,3",",118"
Cierra Burdick,TOT,F,10,86,10,86,"12,6",",705",",705",",091",",000","5,5","8,2","19,5","1,2","1,0","26,7","15,5",109,105,0,"0,1","0,1","0,2",",104"
Danielle Adams,CON,F-C,19,83,19,83,"14,1",",519",",489",",689",",111","9,4","7,5","7,8","2,4","3,7","12,9","28,0",101,100,0,"0,1","0,1","0,2",",120"
Brianna Kiesel,ATL,G,9,75,9,75,"6,3",",361",",233",",600",",667","0,0","3,0","17,8","2,0","1,1","4,9","11,8",94,105,0,"0,0","0,1","0,1",",034"
Makayla Epps,CHI,G,17,64,17,64,"-2,3",",250",",167",",278",",500","3,8","2,7","12,6","1,6","0,0","18,5","18,6",59,112,0,"-0,3","0,0","-0,3","-0,207"
Evelyn Akhator,DAL,F,15,61,15,61,"3,3",",349",",250",",000",",375","12,6","8,7","0,0","0,8","3,8","21,2","16,3",75,112,0,"-0,2","0,0","-0,2","-0,107"
Adut Bulgak,CHI,C,5,61,5,61,"12,6",",455",",432",",136",",227","8,0","19,0","0,0","4,1","2,4","11,0","19,7",88,96,0,"-0,1","0,1","0,1",",056"
Breanna Lewis,DAL,C,13,52,13,52,"-10,3",",254",",167",",000",",333","4,2","10,2","5,7","0,0","0,0","33,7","16,8",47,113,0,"-0,3","0,0","-0,3","-0,261"
Haley Peters,TOT,F-G,4,43,4,43,"-1,7",",500",",500",",667",",000","0,0","4,2","3,8","0,0","0,0","30,8","13,6",68,112,0,"-0,1","0,0","-0,1","-0,107"
Meighan Simmons,ATL,G,11,42,11,42,"1,3",",351",",292",",583",",292","2,6","6,8","4,2","0,0","1,9","10,0","31,1",72,107,0,"-0,2","0,0","-0,2","-0,169"
Rachel Hollivay,ATL,C,7,34,7,34,"11,6",",654",",667",",000",",333","9,6","15,1","0,0","0,0","4,8","12,7","10,1",121,103,0,"0,1","0,0","0,1",",133"
Brittany Boyd,NYL,G,2,32,2,32,"39,7",",655",",600",",067",",733","10,8","14,2","34,7","4,9","0,0","9,2","30,2",134,93,0,"0,3","0,1","0,4",",469"
Aneika Henry-Morello,ATL,F-C,6,31,6,31,"15,6",",857",",857",",000",",000","3,5","11,1","12,4","3,2","0,0","30,0","14,0",111,99,0,"0,1","0,1","0,1",",140"
Sandrine Gruda,LAS,F-C,7,28,7,28,"-7,0",",364",",364",",000",",000","4,8","9,1","0,0","0,0","0,0","31,3","26,4",52,104,0,"-0,2","0,0","-0,2","-0,283"
